season,week,celebrity_name,vote_share_est,std_dev,ci_width_95,judge_score,base_popularity,perf_share,is_eliminated
4,6,John Ratzenberger,0.08386602678240575,0.03175827029197566,0.12087793023837624,19.0,0.05550768808861079,0.11176470588235295,False
4,7,Joey Fatone,0.23033127844292106,0.05783078080014479,0.2248733213275841,29.5,0.2418371192779559,0.19093851132686085,False
4,7,Laila Ali,0.18695930466589594,0.054182192601972885,0.2096004312298066,29.5,0.18663930686886243,0.19093851132686085,False
4,7,Apolo Anton Ohno,0.28636158315787447,0.06311977394749657,0.24772741505300877,27.0,0.3161077231704062,0.17475728155339806,False
4,7,Ian Ziering,0.11925248729930112,0.04421848915375775,0.1684762869668435,27.0,0.1041368826006141,0.17475728155339806,False
4,7,John Ratzenberger,0.053301526188124115,0.02293155940253514,0.08768523306076162,22.5,0.05610374302521305,0.14563106796116504,True
4,7,Billy Ray Cyrus,0.12379382024588365,0.03735344675063666,0.14520534395904355,19.0,0.09517522505694839,0.12297734627831715,False
4,8,Apolo Anton Ohno,0.3152477895041465,0.06446062109673115,0.25112035974026325,29.0,0.3348966804715806,0.23107569721115537,False
4,8,Joey Fatone,0.24988782113156136,0.0607275118194443,0.2378269706415286,27.5,0.25621154601571405,0.21912350597609562,False
4,8,Laila Ali,0.20171245982930913,0.055612351384451725,0.2148569902645861,26.5,0.19773286045973573,0.21115537848605578,False
4,8,Ian Ziering,0.1369552627294439,0.04389913175714277,0.17180720425875473,23.5,0.11032661887480688,0.18725099601593626,False
4,8,Billy Ray Cyrus,0.09619666680553955,0.03253032919940019,0.12607477234549525,19.0,0.10083229417816271,0.15139442231075698,True
4,9,Joey Fatone,0.2819194750238835,0.060994990207533684,0.23644173480368524,30.0,0.2849430026866204,0.25316455696202533,False
4,9,Laila Ali,0.23685249883822102,0.054420786840462566,0.2111582373523018,30.0,0.21990654154889644,0.25316455696202533,False
4,9,Apolo Anton Ohno,0.3482013928080942,0.06580811930015722,0.254414218986891,29.5,0.37245185553621035,0.2489451476793249,False
4,9,Ian Ziering,0.1330266333298005,0.03800027751226503,0.14614495340853628,29.0,0.12269860022827288,0.24472573839662448,True
